piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1979.02,1986.0,572.32,0.0,2.76,3.458,1
1972.35,2005.0,1376.62,0.25,3.14,1.433,1
1982.54,1992.0,524.56,0.094,2.72,3.779,0
1981.66,1991.0,846.7,0.188,2.93,2.34,2
1981.08,2002.0,805.85,0.266,2.91,2.458,2
1982.6,1992.0,562.72,0.125,2.75,3.523,0
1974.55,1989.0,501.17,0.156,2.7,3.94,0
1975.64,2002.0,536.49,0.188,2.73,3.683,0
1970.94,1987.0,399.26,0.0,2.6,4.936,1
1983.07,1992.0,477.91,0.0,2.68,4.149,0
1979.49,1992.0,492.46,0.156,2.69,4.02,0
1987.3,1990.0,394.61,0.0,2.6,5.036,2
1979.88,1992.0,551.85,0.109,2.74,3.588,0
1978.38,1992.0,409.47,0.0,2.61,4.832,0
1975.12,1989.0,531.47,0.0,2.73,3.716,0
1977.91,2003.0,1440.55,0.156,3.16,1.373,1
1982.28,2002.0,425.09,0.234,2.63,4.663,0
1976.91,1985.0,443.02,0.0,2.65,4.462,1
1984.17,1991.0,392.36,0.031,2.59,5.057,0
1978.51,2001.0,504.24,0.188,2.7,3.924,0
1977.78,1992.0,556.28,0.109,2.75,3.555,0
1975.36,2001.0,1316.51,0.188,3.12,1.5,1
1975.03,1977.0,375.68,0.0,2.57,5.257,1
1980.55,1991.0,471.73,0.188,2.67,4.198,0
1981.4,1987.0,444.35,0.0,2.65,4.459,1
1980.85,1990.0,427.41,0.0,2.63,4.635,2
1988.25,1990.0,302.15,0.0,2.48,6.58,2
1983.71,1992.0,432.3,0.094,2.64,4.589,0
1978.64,1986.0,346.7,0.0,2.54,5.707,1
1977.25,1987.0,398.39,0.0,2.6,4.963,1
1959.7,1971.0,349.24,0.0,2.54,5.611,1
1990.08,2002.0,1157.28,0.078,3.06,1.72,2
1976.54,1991.0,426.35,0.094,2.63,4.636,0
1990.67,1992.0,425.67,0.0,2.63,4.677,1
1974.56,1990.0,420.59,0.094,2.62,4.695,0
1981.17,2003.0,548.51,0.094,2.74,3.612,0
1979.54,1987.0,407.0,0.0,2.61,4.864,1
1986.15,2001.0,425.05,0.094,2.63,4.673,0
1981.77,1988.0,458.6,0.0,2.66,4.321,1
1976.89,2007.0,1309.01,0.172,3.12,1.51,2
1977.01,1986.0,422.52,0.0,2.63,4.679,1
1972.47,1976.0,610.21,0.141,2.79,3.232,2
1977.81,1992.0,497.09,0.125,2.7,3.979,0
1976.28,1984.0,381.24,0.0,2.58,5.184,2
1977.49,1993.0,531.39,0.156,2.73,3.721,0
1974.94,1993.0,454.11,0.312,2.66,4.349,0
1979.01,1987.0,481.41,0.0,2.68,4.111,1
1975.45,1991.0,524.31,0.125,2.72,3.768,0
2003.64,2007.0,659.1,0.125,2.82,3.04,2
1989.1,1992.0,498.17,0.0,2.7,3.993,2
1980.88,1987.0,397.42,0.0,2.6,4.984,1
1985.03,1992.0,560.63,0.188,2.75,3.541,0
1973.82,1992.0,422.93,0.062,2.63,4.667,0
1980.73,2001.0,776.25,0.078,2.89,2.552,2
1979.51,2005.0,1492.48,0.172,3.17,1.326,2
1982.72,1988.0,438.45,0.0,2.64,4.522,1
1982.1,1987.0,382.15,0.0,2.58,5.187,1
1980.78,2000.0,541.12,0.188,2.73,3.661,0
1975.97,1993.0,388.36,0.031,2.59,5.088,0
1976.39,1992.0,612.07,0.062,2.79,3.229,0
1979.52,1987.0,1520.19,0.094,3.18,1.302,2
1988.51,2005.0,390.42,0.0,2.59,5.093,2
1978.72,1987.0,425.65,0.0,2.63,4.649,2
