piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1976.98,1991.0,392.75,0.0,2.59,5.034,2
2047.06,2048.0,433.36,0.0,2.64,4.724,3
1987.44,2006.0,648.21,0.109,2.81,3.066,1
1993.91,2007.0,489.15,0.0,2.69,4.076,1
1875.24,1906.0,1124.92,0.141,3.05,1.667,3
1990.75,2003.0,443.66,0.0,2.65,4.487,1
1989.32,2007.0,1477.1,0.109,3.17,1.347,1
1983.24,2003.0,1163.4,0.172,3.07,1.705,3
1984.12,1993.0,429.28,0.0,2.63,4.622,1
1992.56,2004.0,1723.19,0.094,3.24,1.156,1
1985.29,2003.0,482.77,0.156,2.68,4.112,0
1984.54,2004.0,1354.62,0.141,3.13,1.465,0
1950.13,1959.0,803.27,0.094,2.9,2.428,1
1976.93,1991.0,461.79,0.031,2.66,4.281,2
1961.74,1972.0,1415.76,0.094,3.15,1.386,1
1975.29,1990.0,939.97,0.234,2.97,2.101,2
1983.28,2005.0,761.36,0.156,2.88,2.605,3
1982.22,1993.0,356.62,0.094,2.55,5.558,0
1978.71,1990.0,748.84,0.094,2.87,2.642,1
2017.56,2027.0,1500.01,0.078,3.18,1.345,1
1976.98,1990.0,1136.44,0.109,3.06,1.74,2
1973.45,1987.0,418.3,0.0,2.62,4.718,0
1960.32,1973.0,1119.78,0.109,3.05,1.751,1
1967.19,1978.0,1423.79,0.031,3.15,1.382,2
2016.68,2023.0,498.96,0.031,2.7,4.042,0
1988.68,2007.0,649.21,0.047,2.81,3.063,0
1966.67,1976.0,956.44,0.062,2.98,2.056,1
1984.77,2005.0,983.06,0.125,2.99,2.019,3
1963.72,1987.0,1097.39,0.203,3.04,1.789,3
1992.86,2008.0,1484.6,0.016,3.17,1.342,0
1962.44,1972.0,687.08,0.219,2.84,2.856,1
1983.6,1991.0,941.26,0.109,2.97,2.107,2
1989.7,2029.0,1216.32,0.141,3.09,1.636,3
2002.72,2008.0,628.02,0.156,2.8,3.189,1
1986.13,2002.0,381.01,0.0,2.58,5.213,1
1960.18,2000.0,924.91,0.109,2.97,2.119,0
1972.02,1985.0,508.24,0.125,2.71,3.88,1
1973.91,1990.0,412.28,0.188,2.62,4.788,2
1975.64,1991.0,992.53,0.203,3.0,1.991,2
1993.85,2015.0,390.89,0.0,2.59,5.101,3
1980.75,2000.0,878.49,0.203,2.94,2.255,2
2048.0,2048.0,956.21,0.141,2.98,2.142,3
2028.79,2048.0,1421.74,0.078,3.15,1.427,3
1987.29,2000.0,649.23,0.234,2.81,3.061,0
1985.5,2005.0,1213.79,0.219,3.08,1.636,3
2004.52,2026.0,465.94,0.031,2.67,4.302,3
1973.1,1985.0,1540.79,0.078,3.19,1.281,1
1991.93,2006.0,1029.49,0.047,3.01,1.935,2
1981.24,2001.0,455.35,0.0,2.66,4.351,2
1984.18,2000.0,805.44,0.234,2.91,2.463,2
1977.56,1990.0,557.7,0.156,2.75,3.546,0
1983.54,1991.0,368.82,0.0,2.57,5.378,1
1972.6,1990.0,376.09,0.062,2.58,5.245,2
1985.61,2003.0,317.76,0.062,2.5,6.249,1
1985.94,2003.0,526.17,0.062,2.72,3.774,1
1975.76,1992.0,854.17,0.141,2.93,2.313,2
1976.62,1988.0,541.2,0.094,2.73,3.652,0
1984.88,1993.0,507.96,0.078,2.71,3.908,1
1970.88,2005.0,1279.05,0.109,3.11,1.541,3
1970.68,2008.0,1075.79,0.234,3.03,1.832,3
1986.72,1992.0,406.72,0.0,2.61,4.885,1
1969.77,1992.0,478.81,0.031,2.68,4.114,1
1981.96,2006.0,729.2,0.141,2.86,2.718,2
1980.2,1992.0,636.65,0.078,2.8,3.11,2
1944.99,1956.0,1198.02,0.062,3.08,1.623,1
1962.84,1976.0,637.64,0.109,2.8,3.078,1
2010.51,2048.0,1142.24,0.25,3.06,1.76,3
1982.32,1990.0,949.82,0.078,2.98,2.087,1
1982.35,1992.0,444.96,0.0,2.65,4.455,1
2006.67,2025.0,439.79,0.0,2.64,4.563,3
1975.0,1986.0,741.48,0.094,2.87,2.664,1
1979.9,1989.0,760.7,0.078,2.88,2.603,1
1963.3,2003.0,1083.85,0.203,3.03,1.811,3
1981.0,2008.0,1072.03,0.141,3.03,1.848,3
1984.6,2004.0,858.72,0.047,2.93,2.311,0
2001.46,2021.0,717.82,0.047,2.86,2.788,0
1986.34,2003.0,764.98,0.312,2.88,2.597,0
1973.07,1988.0,1345.62,0.141,3.13,1.466,0
1979.46,1991.0,757.05,0.156,2.88,2.615,2
1967.69,1989.0,993.59,0.172,3.0,1.98,3
1983.89,1992.0,1013.41,0.141,3.01,1.958,2
1970.16,1987.0,978.86,0.203,2.99,2.013,2
1973.49,1988.0,384.9,0.0,2.59,5.127,2
1983.88,1991.0,422.11,0.0,2.63,4.7,2
1982.79,1992.0,463.49,0.0,2.67,4.278,1
1983.24,1991.0,399.34,0.0,2.6,4.966,2
2013.01,2048.0,1240.87,0.188,3.09,1.622,3
1986.13,1992.0,959.66,0.078,2.98,2.07,1
1977.6,1992.0,880.23,0.219,2.94,2.247,2
1996.17,2022.0,524.89,0.141,2.72,3.803,1
1978.83,1990.0,663.16,0.047,2.82,2.984,2
1984.29,1993.0,1320.49,0.188,3.12,1.503,0
1976.5,2024.0,1078.8,0.172,3.03,1.832,3
1983.39,2000.0,935.99,0.109,2.97,2.119,2
1973.84,1987.0,824.91,0.172,2.92,2.393,2
1985.9,2015.0,572.26,0.062,2.76,3.47,3
1988.79,2038.0,585.72,0.234,2.77,3.395,0
1979.57,2001.0,1004.5,0.406,3.0,1.971,0
1980.99,2003.0,980.29,0.125,2.99,2.021,2
1970.81,1987.0,355.07,0.031,2.55,5.551,2
1976.89,1991.0,1556.02,0.016,3.19,1.27,2
1988.7,2017.0,1428.9,0.172,3.16,1.392,0
1975.36,2002.0,699.54,0.062,2.84,2.824,1
1967.27,2005.0,441.97,0.0,2.65,4.451,0
2021.97,2047.0,1179.84,0.469,3.07,1.714,0
1968.93,1976.0,613.39,0.078,2.79,3.21,1
2006.18,2026.0,1118.5,0.172,3.05,1.794,3
1982.87,2017.0,626.93,0.25,2.8,3.163,0
2004.76,2026.0,915.96,0.219,2.96,2.189,3
1897.72,1925.0,993.35,0.109,3.0,1.91,3
1998.17,2010.0,776.38,0.141,2.89,2.574,0
1969.24,1975.0,678.42,0.219,2.83,2.903,1
1740.67,1763.0,1052.76,0.172,3.02,1.653,3
1985.61,2007.0,352.74,0.0,2.55,5.629,1
1962.98,1976.0,1305.18,0.141,3.12,1.504,0
1965.73,1976.0,1480.41,0.125,3.17,1.328,1
1972.97,1993.0,554.16,0.031,2.74,3.56,2
1963.82,1991.0,1372.79,0.234,3.14,1.431,3
1940.09,1954.0,728.42,0.109,2.86,2.663,1
1976.58,1989.0,593.17,0.031,2.77,3.332,1
1974.84,1990.0,989.73,0.172,3.0,1.995,0
1994.98,2007.0,498.47,0.156,2.7,4.002,0
1987.5,2006.0,1045.1,0.031,3.02,1.902,1
1935.95,1943.0,1324.92,0.0,3.12,1.461,1
1975.5,1987.0,403.69,0.0,2.61,4.894,0
1985.22,2003.0,693.33,0.203,2.84,2.863,3
1980.62,2023.0,620.53,0.156,2.79,3.192,3
1991.19,2007.0,763.68,0.031,2.88,2.607,2
1979.32,2001.0,921.57,0.141,2.96,2.148,2
1966.16,1973.0,972.34,0.062,2.99,2.022,1
1980.25,1992.0,503.61,0.031,2.7,3.932,2
1984.61,2001.0,1439.06,0.125,3.16,1.379,0
