piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1973.94,1987.0,1502.58,0.078,3.18,1.314,2
1985.26,1992.0,1517.44,0.062,3.18,1.308,2
1977.13,1993.0,545.73,0.25,2.74,3.623,0
1979.21,1988.0,1315.31,0.031,3.12,1.505,3
1974.54,1992.0,503.52,0.359,2.7,3.921,0
1978.65,1992.0,1347.51,0.047,3.13,1.468,2
1985.56,2002.0,1419.92,0.031,3.15,1.398,1
1979.91,1989.0,797.4,0.297,2.9,2.483,3
1975.13,1986.0,1568.04,0.141,3.2,1.26,2
1979.34,1989.0,1554.49,0.016,3.19,1.273,2
1966.18,1974.0,1307.84,0.219,3.12,1.503,3
1975.08,1990.0,576.19,0.156,2.76,3.428,0
1967.3,1976.0,1529.63,0.172,3.18,1.286,3
1979.51,1990.0,1481.72,0.047,3.17,1.336,2
1976.0,2000.0,511.28,0.25,2.71,3.865,0
1986.29,1992.0,776.73,0.344,2.89,2.557,3
1981.17,1993.0,461.04,0.234,2.66,4.297,0
1980.27,1989.0,935.71,0.375,2.97,2.116,3
1978.37,1988.0,837.32,0.312,2.92,2.363,3
1973.83,1992.0,634.22,0.219,2.8,3.112,0
2000.94,2008.0,406.76,0.0,2.61,4.919,1
1985.23,2002.0,472.51,0.281,2.67,4.201,0
1976.32,2000.0,482.74,0.375,2.68,4.094,0
1973.24,1984.0,1118.79,0.375,3.05,1.764,3
1973.56,1992.0,498.65,0.0,2.7,3.958,0
1976.18,1988.0,698.65,0.375,2.84,2.829,3
1986.6,1992.0,376.17,0.0,2.58,5.281,1
1985.52,1992.0,568.57,0.062,2.75,3.492,1
1996.15,2015.0,1552.33,0.203,3.19,1.286,3
1990.4,2008.0,719.4,0.125,2.86,2.767,1
1985.2,2000.0,452.86,0.312,2.66,4.384,0
1983.74,1989.0,637.03,0.438,2.8,3.114,3
1984.09,2001.0,612.45,0.219,2.79,3.24,0
1974.79,1992.0,581.91,0.188,2.76,3.394,0
1984.49,1990.0,385.91,0.062,2.59,5.142,1
1979.84,1989.0,1443.08,0.094,3.16,1.372,2
1966.6,1975.0,1418.09,0.078,3.15,1.387,1
1975.07,1987.0,1563.78,0.125,3.19,1.263,2
2005.85,2020.0,1345.99,0.172,3.13,1.49,2
1983.19,1991.0,1271.28,0.562,3.1,1.56,2
1954.46,1968.0,1506.5,0.016,3.18,1.297,1
1983.43,1991.0,875.24,0.406,2.94,2.266,3
1985.85,2009.0,411.41,0.0,2.61,4.827,1
1981.52,1992.0,1459.42,0.062,3.16,1.358,2
1977.7,1993.0,490.85,0.328,2.69,4.029,0
1977.69,2001.0,524.42,0.25,2.72,3.771,0
1983.74,1993.0,1523.61,0.109,3.18,1.302,2
1973.26,1986.0,1610.4,0.094,3.21,1.225,1
1970.22,1976.0,1692.68,0.109,3.23,1.164,1
1976.27,2000.0,476.06,0.234,2.68,4.151,0
1979.41,1992.0,455.74,0.188,2.66,4.343,0
1984.68,1992.0,414.1,0.0,2.62,4.793,1
1983.96,1993.0,445.6,0.328,2.65,4.452,0
1976.69,2002.0,489.3,0.297,2.69,4.04,0
1953.1,1969.0,1545.42,0.188,3.19,1.264,3
1974.36,1986.0,1089.71,0.172,3.04,1.812,3
1987.94,1994.0,1503.68,0.062,3.18,1.322,2
1972.82,1993.0,539.81,0.219,2.73,3.655,0
1954.06,1972.0,1056.28,0.047,3.02,1.85,1
1978.54,1989.0,686.88,0.406,2.84,2.88,3
1976.63,1992.0,475.84,0.234,2.68,4.154,0
1978.18,1991.0,1527.14,0.094,3.18,1.295,2
1969.74,1984.0,820.65,0.078,2.91,2.4,1
1977.6,1988.0,1548.09,0.016,3.19,1.277,2
1982.48,1991.0,434.13,0.062,2.64,4.567,1
1979.27,1993.0,528.44,0.156,2.72,3.746,0
1989.8,2002.0,1602.42,0.078,3.2,1.242,1
1975.98,2000.0,612.32,0.234,2.79,3.227,0
1983.21,1993.0,455.68,0.281,2.66,4.352,0
1981.07,2001.0,576.26,0.234,2.76,3.438,0
1975.44,1990.0,856.95,0.062,2.93,2.305,2
1981.25,2000.0,450.15,0.219,2.65,4.401,0
1986.22,1994.0,1068.11,0.391,3.03,1.86,3
1975.73,1991.0,1660.71,0.109,3.22,1.19,1
1978.74,1991.0,1317.19,0.422,3.12,1.502,2
1973.52,1986.0,642.38,0.344,2.81,3.072,2
1981.8,1990.0,304.59,0.172,2.48,6.506,1
1972.66,1987.0,1393.95,0.062,3.14,1.415,2
1975.46,1986.0,725.7,0.391,2.86,2.722,3
1979.68,2002.0,400.89,0.0,2.6,4.938,0
1978.26,1990.0,1054.51,0.5,3.02,1.876,3
1978.77,1990.0,942.3,0.344,2.97,2.1,3
1976.59,1992.0,491.05,0.297,2.69,4.025,0
1987.06,1991.0,1304.48,0.453,3.12,1.523,2
1979.62,1990.0,1368.02,0.281,3.14,1.447,2
1977.16,1987.0,356.55,0.031,2.55,5.545,1
1978.32,2000.0,499.41,0.156,2.7,3.961,0
1983.66,2003.0,534.97,0.344,2.73,3.708,0
1990.14,2008.0,1723.17,0.109,3.24,1.155,1
1985.79,1990.0,400.54,0.0,2.6,4.958,1
1978.37,1989.0,1178.64,0.516,3.07,1.679,3
1975.74,1992.0,425.13,0.094,2.63,4.647,0
1976.92,1993.0,512.99,0.156,2.71,3.854,0
1977.02,1987.0,1440.49,0.016,3.16,1.372,1
1985.33,1992.0,1478.89,0.156,3.17,1.342,2
1977.01,1988.0,817.92,0.25,2.91,2.417,3
1973.89,1990.0,410.21,0.047,2.61,4.812,0
1978.31,1993.0,525.3,0.266,2.72,3.766,0
1979.1,1989.0,1613.92,0.031,3.21,1.226,2
1984.18,1993.0,833.81,0.281,2.92,2.38,3
1974.35,1991.0,498.16,0.172,2.7,3.963,0
1984.62,2001.0,447.82,0.25,2.65,4.432,0
1983.43,2001.0,406.59,0.062,2.61,4.878,0
1975.02,1986.0,1564.33,0.078,3.19,1.263,2
1985.02,2007.0,1628.08,0.141,3.21,1.219,1
1974.62,1990.0,429.2,0.219,2.63,4.601,0
1988.15,2017.0,1523.98,0.125,3.18,1.305,1
1961.77,1975.0,1396.77,0.094,3.15,1.405,3
1976.91,1989.0,466.06,0.078,2.67,4.242,3
1982.07,1992.0,508.72,0.312,2.71,3.896,0
1976.1,1990.0,1464.28,0.188,3.17,1.35,2
1984.03,1992.0,506.35,0.25,2.7,3.918,0
1983.73,1991.0,1603.32,0.016,3.21,1.237,1
1982.21,2002.0,402.88,0.0,2.61,4.92,0
1975.88,1986.0,1492.16,0.047,3.17,1.324,2
1971.44,1985.0,717.95,0.141,2.86,2.746,1
1990.32,2003.0,1409.85,0.016,3.15,1.412,1
1968.72,1977.0,1632.06,0.016,3.21,1.206,1
1983.44,1993.0,500.99,0.281,2.7,3.959,0
1972.99,1986.0,634.37,0.422,2.8,3.11,3
1982.29,1992.0,1430.12,0.312,3.16,1.386,3
1975.91,1987.0,709.0,0.406,2.85,2.787,3
1975.33,1987.0,380.78,0.0,2.58,5.188,2
1984.42,2000.0,517.15,0.344,2.71,3.837,0
1972.6,1986.0,1391.24,0.078,3.14,1.418,2
1979.23,1990.0,1609.28,0.125,3.21,1.23,2
1980.69,1994.0,371.4,0.0,2.57,5.333,1
1976.75,1988.0,661.73,0.172,2.82,2.987,2
1974.17,1987.0,1527.38,0.016,3.18,1.293,2
1958.93,1972.0,1316.24,0.0,3.12,1.488,1
1974.64,1991.0,525.19,0.188,2.72,3.76,0
1975.16,1989.0,293.02,0.125,2.47,6.741,3
1987.44,2000.0,1553.07,0.125,3.19,1.28,3
1975.33,1991.0,386.89,0.094,2.59,5.106,0
1980.2,1990.0,1682.33,0.109,3.23,1.177,1
1962.77,1974.0,1326.01,0.062,3.12,1.48,3
1970.22,1985.0,1482.08,0.141,3.17,1.329,3
1976.62,1988.0,764.29,0.453,2.88,2.586,3
1985.46,1993.0,1629.23,0.031,3.21,1.219,1
1972.6,1986.0,857.56,0.375,2.93,2.3,3
1978.54,1988.0,1490.77,0.062,3.17,1.327,2
1981.79,1993.0,547.26,0.0,2.74,3.621,0
1987.64,1992.0,579.86,0.062,2.76,3.428,1
1982.07,1989.0,515.29,0.094,2.71,3.846,1
1976.15,1987.0,1599.93,0.016,3.2,1.235,2
1974.78,1987.0,1572.26,0.125,3.2,1.256,2
1986.01,1992.0,407.12,0.141,2.61,4.878,1
1977.68,1990.0,1580.62,0.062,3.2,1.251,1
1975.47,1992.0,1245.56,0.031,3.1,1.586,1
1967.65,1975.0,1326.2,0.0,3.12,1.484,1
1978.97,2000.0,530.36,0.344,2.72,3.731,0
1964.62,1975.0,1825.84,0.125,3.26,1.076,1
1975.16,1993.0,573.88,0.094,2.76,3.442,0
1969.49,1976.0,1476.52,0.172,3.17,1.334,3
1976.13,1992.0,494.46,0.234,2.69,3.997,0
1988.65,2004.0,1523.95,0.141,3.18,1.305,3
1985.46,2004.0,1558.7,0.094,3.19,1.274,1
1980.42,1992.0,1442.13,0.156,3.16,1.373,3
1978.76,1993.0,1559.29,0.031,3.19,1.269,2
1978.54,1991.0,1346.05,0.031,3.13,1.47,2
1980.83,1993.0,599.93,0.359,2.78,3.302,0
1983.27,2000.0,562.17,0.141,2.75,3.528,0
1985.04,1992.0,557.24,0.062,2.75,3.562,1
1988.22,1994.0,1561.6,0.078,3.19,1.273,2
1974.8,1985.0,1204.34,0.031,3.08,1.64,2
1983.02,2002.0,467.16,0.219,2.67,4.245,0
1976.96,1987.0,611.43,0.141,2.79,3.233,2
1975.35,1993.0,459.46,0.188,2.66,4.299,0
1979.44,1993.0,458.68,0.25,2.66,4.316,0
1977.43,1987.0,698.96,0.266,2.84,2.829,2
1989.5,2000.0,937.52,0.438,2.97,2.122,3
1978.68,2000.0,563.17,0.156,2.75,3.513,0
1983.76,1991.0,409.43,0.141,2.61,4.845,1
1975.89,1991.0,563.57,0.25,2.75,3.506,0
1990.55,2004.0,1515.3,0.188,3.18,1.314,3
1978.41,1988.0,486.27,0.109,2.69,4.069,2
1977.15,1991.0,1477.03,0.094,3.17,1.339,3
1982.63,1993.0,469.62,0.219,2.67,4.222,0
1983.78,1992.0,432.1,0.0,2.64,4.591,0
1979.26,1991.0,387.67,0.0,2.59,5.106,1
1974.78,1994.0,527.02,0.281,2.72,3.747,0
1977.19,1987.0,698.9,0.266,2.84,2.829,2
1996.52,2005.0,1599.83,0.172,3.2,1.248,3
1956.69,1971.0,1632.43,0.125,3.21,1.199,3
1982.34,2002.0,1625.0,0.109,3.21,1.22,3
1974.18,1987.0,1534.96,0.125,3.19,1.286,1
1966.96,1975.0,1495.37,0.109,3.17,1.315,1
1977.12,1987.0,1454.53,0.047,3.16,1.359,2
1974.33,1986.0,843.11,0.312,2.93,2.342,3
1976.43,1993.0,500.55,0.328,2.7,3.949,0
1969.5,1976.0,1426.04,0.125,3.15,1.381,3
1988.99,1992.0,1139.75,0.219,3.06,1.745,2
1977.12,1992.0,1581.24,0.016,3.2,1.25,1
1993.46,2004.0,1656.35,0.031,3.22,1.204,1
1988.66,1993.0,691.98,0.047,2.84,2.874,1
1980.46,1989.0,1036.34,0.375,3.02,1.911,3
1984.55,2001.0,478.29,0.188,2.68,4.149,0
1972.96,1986.0,1584.99,0.172,3.2,1.245,3
1972.13,1987.0,1266.01,0.125,3.1,1.558,3
1974.58,2001.0,448.71,0.219,2.65,4.401,0
1978.52,1989.0,1383.48,0.062,3.14,1.43,2
1963.81,1974.0,1400.28,0.125,3.15,1.402,3
1980.74,1992.0,1370.23,0.375,3.14,1.446,2
